"Hi", Salut
"Search for items or shops", Rechercher des articles ou des boutiques
"Sign up/Login", S'inscrire / S'identifier
"Cart", Chariot
"Featured", En vedette
"Worldwide shipping", Livraison internationale
"Accept all cards", Accepter toutes les cartes
"Multilingual support", Support multilingue
"Electronics", Électronique
"Home", Accueil
"Pet Toys & Pet Supplies", Jouets & Fournitures pour animaux
"Food", Aliments
"Clothing, Shoes & Accessories", Vêtements / Chaussures et Accessoires
"Patio & Garden", Patio et Jardin
"Baby", Bébé
"Music", La musique
"Adult", Adulte
"Books", Livres
"Home Improvement", Amélioration de l'habitat
"GIft / Prepaid / SIM & Activation Cards", Cadeau / Prépayé / SIM et cartes d'activation
"Movies & TV Media", Films et médias télévisés
"Jewelry", Bijoux
"Industrial Supplies", Fournitures industrielles
"Automotive", Automobile
"Furniture", Meubles
"Party & Occasions", Fête Et Occasions
"Toys", Jouets
"Health & Beauty", Santé & Beauté
"Sports, Fitness & Outdoors", Sports / Fitness & En plein air
"View all categories", Voir toutes les catégories
"Only one day", Seulement un jour
"Show more +", Afficher plus +
"Best offers", Meilleures offres
"You watched", Tu as regardé
"Buyers", Acheteurs
"How to select an item", Comment sélectionner un article
"Feedback", Retour d'information
"Service assistance", Assistance de service
"Participation in research", Participation à la recherche
"Sellers", Les vendeurs
"Log in to your personal account", Connectez-vous à votre compte personnel
"Connect to the Market", Connectez-vous au marché
"Help for shops", Aide pour les magasins
"Delivery", Livraison
"The website for partners", Le site web pour les partenaires
"Assistance for manufacturers", Assistance aux fabricants
"Mobile app market place TRG", Place de l'application mobile TRG
"Tools", Outils
"Bath Faucets", Robinets de bain
"Lawn Mower", Tondeuse à gazon
"Kitchen", Cuisine
"Washer", Machine à laver
"Product category", Catégorie de produit
"Promoted product", Produit promu
"All departments", Tous les départements
"Bestshops", Bestshops
"Best offers", Meilleures offres
"Contacts", Contacts
"Payment", Paiement
"Social network", Réseau social
"Inspired by your browsing history", Inspiré par votre historique de navigation
"Product description", Description du produit
"General characteristic", Caractéristique générale
"Similar product", Produit similaire
"Peculiar properties", Propriétés particulières
"Prices from sellers", Prix ​​des vendeurs
"About product", A propos du produit
"Product reviews", Avis sur le produit
"Share", Partager
"Print", Impression
"all specification", toutes les spécifications
"All product brand", Toute marque de produit
"Buy now", Acheter maintenant
"Buy", Acheter