"Hi", Привет
"Search for items or shops", Поиск по товарам или магазинам
"Sign up/Login", Авторизация/Войти
"Cart", Корзина
"Featured", Рекомендуемые
"Worldwide shipping", Доставка по всему миру
"Accept all cards", Принимаем все карты
"Multilingual support", Мультиязыковая поддержка
"Electronics", Электроника
"Home", Товары для дома
"Pet Toys & Pet Supplies", Товары и игрушки для животных
"Food", Продовольственные товары
"Clothing, Shoes & Accessories", Одежда / Обувь и аксессуары
"Patio & Garden", Все для сада
"Baby", Детские товары
"Music", Музыкальное оборудование и инструменты
"Adult", Товары для взрослых
"Books", Книги
"Home Improvement", Ремонт и благоустройство дома
"GIft / Prepaid / SIM & Activation Cards", Подарки / Карты предоплаты / SIM-карты
"Movies & TV Media", Фильмы и ТВ-медиа
"Jewelry", Ювелирные изделия
"Industrial Supplies", Промышленное оборудование
"Automotive", Автотовары
"Furniture", Мебель
"Party & Occasions", Товары для праздника
"Toys", Игрушки
"Health & Beauty", Красота и здоровье
"Sports, Fitness & Outdoors", Спорт и активный отдых
"View all categories", Смотреть все категории
"Only one day", Только один день
"Show more +", Показать больше +
"Best offers", Лучшие предложения
"You watched", Недавно просмотренные
"Buyers", Покупателям
"How to select an item", Как выбрать товар
"Feedback", Обратная связь
"Service assistance", Сервисная помощь
"Participation in research", Участие в исследованиях
"Sellers", Продавцам
"Log in to your personal account", Войти в личный кабинет
"Connect to the Market", Связаться с торговой площадкой
"Help for shops", Помощь магазинам
"Delivery", Доставка
"The website for partners", Версия для партнеров
"Assistance for manufacturers", Поддержка производителей
"Mobile app market place TRG", Мобильное приложение
"Tools", Инструменты
"Bath Faucets", Краны
"Lawn Mower", Газонокосилки
"Kitchen", Для кухни
"Washer", Стиральные машины
"Product category", Категория
"Promoted product", Акция
"All departments", Все категории
"Bestshops", Лучшие магазины
"Best offers", Подходящие предложения
"Contacts", Контакты
"Payment", Оплата
"Social network", Мы в соцсетях
"Inspired by your browsing history", Вдохновитесь вашей историей просмотра
"Product description", Описание товара
"General characteristic", Основные характеристики
"Similar product", Похожие товары
"Peculiar properties", Особенности
"Prices from sellers", Предложения магазинов
"About product", О товаре
"Product reviews", Отзывы
"Share", Поделиться
"Print", На печать
"all specification", все характеристики
"All product brand", Все бренды
"Buy now", Купить сейчас
"Buy", Купить